pitch,velocity,start,end
75,63,13632,13696
74,59,13696,13760
73,58,13760,13824
62,55,13824,13887
74,62,13824,13888
75,71,13888,13952
63,73,13952,14015
61,73,13952,14015
74,66,13952,14016
73,73,14016,14080
64,82,14080,14143
60,82,14080,14143
74,81,14080,14144
75,86,14144,14208
65,91,14208,14271
59,91,14208,14271
74,90,14208,14272
73,92,14272,14323
66,91,14336,14400
74,85,14336,14400
62,75,14400,14464
75,85,14400,14464
66,93,14464,14528
76,91,14464,14528
62,90,14528,14592
77,100,14528,14592
66,104,14592,14656
78,102,14592,14656
62,72,14656,14720
77,76,14656,14720
66,68,14720,14784
76,62,14720,14784
62,46,14784,14848
75,45,14784,14848
66,48,14848,14912
74,42,14848,14912
62,60,14912,14976
75,64,14912,14976
66,81,14976,15040
76,81,14976,15040
62,85,15040,15104
77,101,15040,15104
66,97,15104,15168
78,101,15104,15168
62,77,15168,15232
77,74,15168,15232
66,69,15232,15296
76,63,15232,15296
75,44,15296,15347
62,43,15296,15360
58,88,14336,15360
67,50,15360,15423
62,50,15360,15423
59,50,15360,15423
74,43,15360,15424
67,38,15424,15475
67,51,15488,15519
67,62,15552,15583
67,72,15616,15647
67,79,15680,15711
67,88,15744,15775
67,98,15808,15839
68,78,15872,15936
66,78,15872,15936
67,91,15936,16000
68,101,16000,16064
66,101,16000,16064
80,109,16064,16128
68,86,16128,16192
66,86,16128,16192
67,92,16192,16256
68,97,16256,16320
66,97,16256,16320
80,123,16320,16384
67,72,16384,16448
67,0,-1,16448
79,117,16448,16479
79,100,16512,16543
79,94,16576,16607
79,97,16640,16671
79,96,16704,16735
79,95,16768,16799
79,96,16832,16863
80,88,16896,16960
78,88,16896,16960
79,91,16960,17024
80,99,17024,17088
78,99,17024,17088
92,112,17088,17152
80,87,17152,17216
78,87,17152,17216
79,93,17216,17280
80,96,17280,17344
78,96,17280,17344
92,123,17344,17408
79,73,17408,17472
91,82,17408,17472
80,72,17472,17536
79,87,17536,17600
78,88,17600,17664
79,102,17664,17728
80,102,17728,17792
79,91,17792,17856
78,90,17856,17907
79,101,17920,17984
67,118,17920,18048
80,97,17984,18048
68,90,18048,18111
79,94,18048,18112
66,93,18048,18176
78,93,18112,18176
69,96,18176,18239
79,98,18176,18240
65,95,18176,18304
80,97,18240,18304
70,97,18304,18367
79,95,18304,18368
78,91,18368,18419
64,95,18304,18432
71,89,18432,18496
79,89,18432,18496
67,76,18496,18560
80,88,18496,18560
71,94,18560,18624
81,92,18560,18624
67,89,18624,18688
82,98,18624,18688
71,99,18688,18752
83,98,18688,18752
67,67,18752,18816
82,70,18752,18816
71,53,18816,18880
81,48,18816,18880
80,51,18880,18931
67,49,18880,18944
71,51,18944,19008
79,43,18944,19008
67,62,19008,19072
80,66,19008,19072
71,81,19072,19136
81,80,19072,19136
67,90,19136,19200
82,103,19136,19200
71,105,19200,19264
83,100,19200,19264
67,75,19264,19328
82,77,19264,19328
71,67,19328,19392
81,63,19328,19392
80,45,19392,19443
67,41,19392,19456
63,78,18432,19456
72,69,19456,19520
67,69,19456,19520
63,69,19456,19520
60,69,19456,19520
79,55,19456,19520
78,53,19520,19584
77,52,19584,19648
76,62,19648,19712
75,57,19712,19776
80,69,19776,19840
79,58,19840,19904
78,61,19904,19968
72,53,19968,20031
67,53,19968,20031
63,53,19968,20031
79,61,19968,20032
78,57,20032,20096
77,55,20096,20160
76,59,20160,20224
72,57,20224,20287
68,57,20224,20287
65,57,20224,20287
75,60,20224,20288
76,62,20288,20352
77,62,20352,20416
78,64,20416,20467
79,63,20480,20544
72,50,20480,20608
67,50,20480,20608
63,50,20480,20608
78,58,20544,20608
77,58,20608,20672
76,58,20672,20736
77,58,20736,20800
68,49,20736,20864
65,49,20736,20864
59,49,20736,20864
76,58,20800,20864
75,58,20864,20928
74,56,20928,20992
75,66,20992,21056
67,52,20992,21120
63,52,20992,21120
60,52,20992,21120
76,62,21056,21120
77,65,21120,21184
78,61,21184,21248
77,59,21248,21312
62,58,21248,21376
58,58,21248,21376
78,69,21312,21376
79,67,21376,21440
80,70,21440,21491
81,67,21504,21568
67,54,21504,21632
61,54,21504,21632
57,54,21504,21632
80,58,21568,21632
79,56,21632,21696
78,54,21696,21760
79,66,21760,21824
78,55,21824,21888
77,58,21888,21952
76,56,21952,22016
77,63,22016,22080
76,54,22080,22144
75,58,22144,22208
69,77,21760,22272
74,59,22208,22272
69,59,22272,22335
73,59,22272,22336
72,56,22336,22400
71,60,22400,22464
70,51,22464,22515
69,54,22528,22591
69,0,-1,22592
70,62,22592,22656
69,61,22656,22720
68,55,22720,22784
69,54,22784,22847
69,0,-1,22848
70,64,22848,22912
65,48,22912,22975
69,59,22912,22976
68,58,22976,23040
62,52,23040,23103
69,64,23040,23104
70,63,23104,23168
58,54,23168,23231
69,56,23168,23232
68,55,23232,23296
62,66,23296,23359
69,60,23296,23360
70,62,23360,23424
65,64,23424,23487
69,57,23424,23488
68,59,23488,23539
69,72,23552,23615
69,0,-1,23616
70,65,23616,23680
69,59,23680,23744
68,57,23744,23808
69,52,23808,23871
57,52,23808,23871
69,0,-1,23872
70,66,23872,23936
65,53,23936,23999
53,53,23936,23999
69,58,23936,24000
68,58,24000,24064
62,56,24064,24127
50,56,24064,24127
69,64,24064,24128
70,64,24128,24192
58,61,24192,24255
46,61,24192,24255
69,56,24192,24256
68,59,24256,24320
62,65,24320,24383
50,65,24320,24383
69,64,24320,24384
70,65,24384,24448
65,69,24448,24511
53,69,24448,24511
69,59,24448,24512
68,56,24512,24563
69,71,24576,24639
57,71,24576,24639
69,0,-1,24640
68,59,24640,24704
67,58,24704,24768
66,55,24768,24832
67,63,24832,24896
66,60,24896,24960
65,57,24960,25024
64,58,25024,25088
65,64,25088,25152
64,58,25152,25216
63,58,25216,25280
62,58,25280,25344
61,62,25344,25408
60,56,25408,25472
59,59,25472,25536
58,58,25536,25587
57,61,25600,25664
58,60,25664,25728
57,61,25728,25792
56,58,25792,25856
57,55,25856,25919
45,55,25856,25919
57,0,-1,25920
58,62,25920,25984
53,59,25984,26047
41,59,25984,26047
57,60,25984,26048
56,62,26048,26112
50,59,26112,26175
38,59,26112,26175
57,64,26112,26176
58,62,26176,26240
46,56,26240,26303
34,56,26240,26303
57,61,26240,26304
56,61,26304,26368
50,62,26368,26431
38,62,26368,26431
57,62,26368,26432
58,65,26432,26496
53,63,26496,26559
41,63,26496,26559
57,56,26496,26560
56,59,26560,26611
57,61,26624,26688
57,0,-1,26751
