pitch	velocity	start	end
48	100	6840	6960
36	127	6960	6990
38	96	6960	6990
72	83	6960	7020
48	92	6960	7020
38	69	7020	7050
38	99	7050	7080
69	80	7020	7080
65	65	6840	7080
45	96	7020	7080
38	105	7080	7110
36	127	7080	7110
50	105	7080	7110
74	71	7080	7140
38	74	7140	7170
38	101	7170	7200
52	100	7140	7200
76	75	7140	7200
36	127	7200	7230
38	84	7200	7230
38	105	7230	7260
74	75	7200	7260
50	100	7200	7260
38	83	7260	7290
72	80	7260	7290
71	64	7080	7300
48	89	7260	7320
38	100	7290	7320
36	127	7320	7350
38	89	7320	7350
74	67	7320	7380
50	105	7320	7380
38	74	7380	7410
38	80	7410	7440
48	89	7380	7440
72	86	7380	7440
36	127	7440	7470
38	96	7440	7470
71	75	7440	7500
47	105	7440	7500
38	69	7500	7530
38	99	7530	7560
69	80	7500	7560
67	62	7080	7560
45	105	7500	7560
38	105	7560	7590
36	127	7560	7590
38	74	7620	7650
38	101	7650	7680
38	84	7680	7710
36	127	7680	7710
38	105	7710	7740
38	83	7740	7770
43	92	7560	7772
74	75	7560	7787
67	69	7560	7787
71	69	7560	7792
38	100	7770	7800
36	127	7800	7830
49	120	7802	7832
79	110	7800	7890
79	100	7920	7980
81	100	7980	8040
52	92	8160	8220
74	105	8040	8250
67	92	7800	8280
71	105	7800	8280
43	115	7800	8280
50	110	8220	8280
72	89	8280	8400
72	96	8400	8460
69	92	8460	8520
67	64	8280	8520
76	86	8280	8520
48	89	8280	8550
50	105	8580	8640
52	115	8640	8700
74	105	8520	8730
67	73	8520	8760
36	110	8280	8760
53	96	8700	8760
71	92	8520	8760
36	127	8760	8790
49	120	8762	8792
79	105	8760	8850
76	92	8760	8880
72	96	8760	8880
79	100	8880	9000
43	115	8760	9000
55	122	8760	9000
57	96	9000	9060
81	115	9000	9060
60	110	9060	9120
84	92	9060	9120
57	105	9120	9180
81	92	9120	9180
79	86	9180	9210
41	122	9000	9210
76	65	8880	9240
55	122	9180	9240
67	71	8760	9240
72	75	8880	9240
48	105	9240	9360
72	75	9240	9360
48	105	9360	9420
72	92	9360	9420
45	105	9420	9480
76	77	9240	9480
69	89	9420	9480
67	69	9240	9480
36	105	9240	9480
38	110	9480	9600
74	83	9480	9690
50	110	9480	9690
71	77	9480	9720
43	96	9600	9720
67	69	9480	9720
36	127	9720	9750
49	120	9722	9752
79	86	9720	9840
55	122	9720	9840
50	105	9840	9960
74	92	9840	9960
76	83	9720	9960
67	64	9720	9960
72	83	9720	9960
48	115	9960	10080
72	75	9960	10080
47	115	10080	10140
71	89	10080	10140
45	89	10140	10200
69	92	10140	10200
65	83	9960	10200
36	86	10140	10200
36	127	10200	10230
49	127	10200	10230
67	71	10200	10320
43	110	10200	10320
55	105	10320	10440
79	86	10320	10440
72	86	10200	10440
76	86	10200	10440
49	127	10440	10470
36	127	10440	10470
74	89	10440	10530
50	115	10440	10560
52	110	10560	10620
76	83	10560	10620
50	100	10620	10680
71	83	10440	10680
74	89	10620	10680
67	67	10440	10680
38	105	10440	10680
48	100	10680	10800
72	67	10680	10800
48	92	10800	10860
72	83	10800	10860
45	96	10860	10920
65	65	10680	10920
69	80	10860	10920
36	89	10680	10920
50	105	10920	10950
74	71	10920	10980
52	100	10980	11040
76	75	10980	11040
50	100	11040	11100
74	75	11040	11100
72	80	11100	11130
38	110	10920	11130
71	64	10920	11140
48	89	11100	11160
50	105	11160	11220
74	67	11160	11220
48	89	11220	11280
72	86	11220	11280
47	105	11280	11340
71	75	11280	11340
38	105	11160	11340
45	105	11340	11400
69	80	11340	11400
67	62	10920	11400
38	96	11340	11400
36	127	11400	11430
49	127	11400	11430
43	92	11400	11612
67	69	11400	11627
74	75	11400	11627
71	69	11400	11632
120	66	0	0
